Rank,Player,Goals,Matches,Goals per game
1,Miroslav Klose,16,24,0.67
2,Ronaldo,15,19,0.84
3,Gerd Müller,14,13,1.08
4,Just Fontaine,13,6,2.17
6,Kylian Mbappé,12,14,0.86
8,Sándor Kocsis,11,5,2.20
10,Helmut Rahn,10,10,1.00
