Confederation,Total,Hosts
Asian Football Confederation(AFC),2,"2002:  South Korea,  Japan2022:  Qatar2034:  Saudi Arabia"
Confederation of African Football(CAF),2,2010:  South Africa2030:  Morocco
"Confederation of North, Central America and Caribbean Association Football(CONCACAF)",4,"1970:  Mexico1986:  Mexico1994:  United States2026:  Canada,  Mexico,  United States"
South American Football Confederation(CONMEBOL),5,1930:  Uruguay1950:  Brazil1962:  Chile1978:  Argentina2014:  Brazil
Oceania Football Confederation(OFC),0,
Union of European Football Associations(UEFA),12,"1934:  Italy1938:  France1954:   Switzerland1958:  Sweden1966:  England1974:  West Germany*1982:  Spain1990:  Italy1998:  France2006:  Germany*2018:  Russia2030:  Spain,  Portugal"
Two competitions cancelled due to World War II,0,19421946
